"","feature","enrich_group","ef_lda","pvalue","padj"
"marker53","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_FCS020_group","Control",2.9590388733346,0.00123304959565112,0.00123304959565112
"marker54","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__Mogibacterium|s__Mogibacterium_s__","Control",2.94339573004828,0.0340513530830399,0.0340513530830399
"marker55","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__Mogibacterium","Control",2.94245105532923,0.0340513530830399,0.0340513530830399
"marker56","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis","Control",2.93495782579596,0.0368110326102924,0.0368110326102924
"marker57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_UCG-001|s__Lachnospiraceae_UCG-001_s__","Control",2.92351684809302,0.0422395685697851,0.0422395685697851
"marker58","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_Incertae_Sedis","Control",2.86244907920225,0.0277022941118919,0.0277022941118919
"marker59","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_Incertae_Sedis|g__Coriobacteriales_Incertae_Sedis_g__|s__Coriobacteriales_Incertae_Sedis_g___s__","Control",2.85910414664151,0.0277022941118919,0.0277022941118919
"marker60","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_Incertae_Sedis|g__Coriobacteriales_Incertae_Sedis_g__","Control",2.85884066589177,0.0277022941118919,0.0277022941118919
"marker61","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_FCS020_group|s__Lachnospiraceae_FCS020_group_s__","Control",2.74920419602234,0.00350279821311238,0.00350279821311238
"marker62","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_UCG-008|s__Lachnospiraceae_UCG-008_s__","Control",2.73147418985574,0.0171071857197938,0.0171071857197938
"marker63","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_UCG-008","Control",2.73145760172658,0.0171071857197938,0.0171071857197938
"marker64","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_s__","Control",2.70835913395216,0.0170941257344642,0.0170941257344642
"marker65","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Butyricicoccus|s__Butyricicoccus_faecihominis","Control",2.70094822229625,0.0171071857197938,0.0171071857197938
"marker66","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium","Control",2.57137510721252,0.0253473186774682,0.0253473186774682
"marker67","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_s__","Control",2.56645051990461,0.0253473186774682,0.0253473186774682
